task_handle,occupation_code,task_description,justification,prob_E0,prob_E1,prob_E2,prob_E3
ccoach,21,Coaching the staff whom you manage,"LLMs can provide valuable support in skill development and knowledge transfer through tailored learning resources and feedback analysis (E1), with potential for further enhancement through specialized coaching platforms (E2), but the human element of mentorship remains crucial (E0).",0.3,0.4,0.3,0.0
ccareers,21,Developing the careers of the staff whom you manage,"LLMs can assist in identifying growth opportunities, creating personalized development plans, and providing access to relevant training resources (E1, E2), but human guidance and performance evaluation remain essential (E0).",0.2,0.4,0.4,0.0
cfuture,21,Making strategic decisions about the future of your organisation,"LLMs can significantly contribute to strategic planning by analyzing trends, generating forecasts, and evaluating different scenarios (E1), with potential for further enhancement through specialized strategic planning tools (E2), but human oversight and final decision-making are still critical (E0).",0.15,0.35,0.5,0.0
cteach,22,"Instructing, training, or teaching people, individually or in groups within the healthcare context.","LLMs can significantly aid in creating educational materials and providing personalized learning experiences, but the interpersonal aspects of teaching and hands-on training still require human interaction.",0.15,0.35,0.45,0.05
cspeech,22,"Making speeches or presentations in the healthcare field, such as presenting research findings, conducting grand rounds, or delivering public health announcements.","LLMs can significantly assist in drafting speeches and creating presentations, but the delivery and Q&A aspects still rely on human interaction and expertise.",0.1,0.4,0.5,0.0
cpersuad,22,"Persuading or influencing others in a healthcare setting, such as encouraging patients to adhere to treatment plans, advocating for policy changes, or securing funding for research.","While LLMs can provide data-driven arguments and communication strategies, persuasion in healthcare often relies on empathy, trust, and interpersonal skills, which are less amenable to automation.",0.3,0.3,0.4,0.0
cteamwk,22,"Working with a team of people in a healthcare setting, which involves coordinating patient care, sharing information, and collaborating on treatment plans.","Teamwork in healthcare relies heavily on interpersonal communication and real-time coordination, limiting the potential for significant time reduction from LLMs, though some assistance with information sharing and scheduling is possible.",0.6,0.2,0.2,0.0
clisten,22,"Listening carefully to colleagues in a healthcare environment to understand patient concerns, share medical information, and coordinate care.","Active listening in healthcare requires nuanced understanding of verbal and non-verbal cues, making it unlikely that LLMs can significantly reduce the time spent on this inherently human interaction.",0.9,0.05,0.05,0.0
ccoop,22,"Cooperating with colleagues in a healthcare setting to provide comprehensive patient care, involving shared decision-making, coordinated actions, and efficient communication.","While LLMs may offer some support for information sharing and task coordination, cooperation in healthcare relies heavily on interpersonal dynamics and real-time adaptation, limiting the potential for substantial time reduction.",0.6,0.15,0.25,0.0
cwrite,22,"Writing material such as forms, notices, or signs in a healthcare setting.","While simple forms might see limited impact, LLMs can automate filling and generation of more complex forms or notices within integrated healthcare systems, but image processing is irrelevant.",0.15,0.35,0.5,0.0
cwritesh,22,"Writing short documents such as short reports, letters, or emails in a healthcare setting, including patient notes, referral letters, or internal communications.","LLMs can significantly assist in drafting and summarizing short documents, especially within integrated EHR systems, but image processing is not relevant.",0.1,0.4,0.5,0.0
cwritelg,22,"Writing long documents with correct spelling and grammar, such as long reports, manuals, articles, or books, in a healthcare setting, including research papers, clinical trial reports, or educational materials.","LLMs excel at assisting with long-form writing, offering substantial time savings in drafting, editing, and research, but image processing is not a major factor.",0.15,0.6,0.25,0.0
